epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,21080.1,1.00498,0.6698,1.06298,0.86262,0.72799,0.81062,0.52954,1.04874,0.70013,1.1064,0.0003962,0.0003962,0.0003962
83,21331.3,1.02304,0.68018,1.08028,0.81939,0.75155,0.8128,0.52781,1.05936,0.67569,1.11468,0.0003764,0.0003764,0.0003764
84,21585.4,1.03993,0.66975,1.0344,0.85218,0.7619,0.81959,0.53726,1.06089,0.68471,1.12755,0.0003566,0.0003566,0.0003566
85,21834.6,1.00943,0.66331,1.06376,0.8263,0.76708,0.81601,0.53463,1.04037,0.66765,1.10342,0.0003368,0.0003368,0.0003368
86,22087.9,1.00838,0.66867,1.05619,0.83326,0.76501,0.82676,0.5358,1.05068,0.68562,1.11808,0.000317,0.000317,0.000317
87,22337.4,1.01186,0.65674,1.02821,0.84127,0.74948,0.82279,0.53881,1.04713,0.66108,1.10615,0.0002972,0.0002972,0.0002972
88,22587.9,1.00581,0.67735,1.06107,0.85145,0.74171,0.82383,0.54284,1.02909,0.65676,1.10687,0.0002774,0.0002774,0.0002774
89,22838.8,1.01565,0.67339,1.0551,0.82932,0.76457,0.82784,0.54025,1.04356,0.6564,1.12975,0.0002576,0.0002576,0.0002576
90,23090.3,0.98469,0.64663,1.05799,0.83426,0.74845,0.81904,0.53539,1.04219,0.65538,1.11722,0.0002378,0.0002378,0.0002378
91,23338.4,0.91819,0.60548,0.99812,0.85002,0.74948,0.81998,0.53189,1.03441,0.66646,1.10779,0.000218,0.000218,0.000218
92,23586,0.92339,0.58378,0.98706,0.85253,0.76087,0.82883,0.54173,1.02297,0.63868,1.09746,0.0001982,0.0001982,0.0001982
93,23832,0.92581,0.59669,0.99062,0.83359,0.76605,0.82439,0.53967,1.02737,0.66462,1.11912,0.0001784,0.0001784,0.0001784
94,24078.8,0.91246,0.572,0.98375,0.85254,0.76605,0.82676,0.5371,1.02659,0.64549,1.10494,0.0001586,0.0001586,0.0001586
95,24330.1,0.88958,0.55812,0.96476,0.85379,0.7619,0.82548,0.53719,1.02178,0.62759,1.10089,0.0001388,0.0001388,0.0001388
96,24584.6,0.90187,0.56314,0.98194,0.83508,0.7619,0.82034,0.53554,1.01822,0.63954,1.10189,0.000119,0.000119,0.000119
97,24862,0.88118,0.56651,0.97056,0.85255,0.75155,0.82749,0.53845,1.01792,0.63485,1.10213,9.92e-05,9.92e-05,9.92e-05
98,25111.8,0.91088,0.57007,0.99724,0.83292,0.77847,0.82785,0.53952,1.01656,0.62509,1.10541,7.94e-05,7.94e-05,7.94e-05
99,25364.1,0.8972,0.55925,0.975,0.82592,0.77599,0.82375,0.54118,1.01691,0.62921,1.10415,5.96e-05,5.96e-05,5.96e-05
100,25610.3,0.88339,0.5446,0.9645,0.84651,0.75359,0.82495,0.54225,1.01415,0.6238,1.10305,3.98e-05,3.98e-05,3.98e-05
